substituent,molecular_formula,Name,ΔVC-m,ΔVC -p,σm,σp,Fb,Rc,cid,molecular_weight,exact_mass,monoisotopic_mass,charge,heavy_atom_count,h_bond_donor_count,h_bond_acceptor_count,xlogp,tpsa,canonical_smiles,complexity,covalent_unit_count,all_atoms_count,all_atoms_count_unique,Num_of_Rings,heavy_atoms,aromatic_bond,single_bond,double_bond,triple_bond,C,H,N,O,S,F,Cl,P,Ge,Se,Si,Br,B,As
OCN,C7H5NO,Phenyl cyanate,18.034009889999904,14.2,0.67,0.54,0.69,-0.15,7672,119.12,119.037113783,119.037113783,0,9,0,2,2.7,29.4,C1=CC=C(C=C1)N=C=O,121,1,14,4,1,9,6,1,2,0,7.0,5.0,1.0,1.0,,,,,,,,,,
N=C=O,C7H5NO,Phenyl isocyanate,9.437122889999875,7.1,0.27,0.19,0.31,-0.12,70740,119.12,119.037113783,119.037113783,0,9,0,2,2.2,33,C1=CC=C(C=C1)OC#N,118,1,14,4,1,9,6,2,0,1,7.0,5.0,1.0,1.0,,,,,,,,,,
N=C=O,C7H5NO,Phenyl isocyanate,9.437122889999875,7.1,0.27,0.19,0.31,-0.12,7672,119.12,119.037113783,119.037113783,0,9,0,2,2.7,29.4,C1=CC=C(C=C1)N=C=O,121,1,14,4,1,9,6,1,2,0,7.0,5.0,1.0,1.0,,,,,,,,,,
OSO2CF3 ,C7H5F3O3S,Phenyl trifluoromethanesulfonate,15.963226890000271,14.0,0.56,0.53,0.56,-0.03,548641,226.17,225.99114968,225.99114968,0,14,0,6,2.5,51.8,C1=CC=C(C=C1)OS(=O)(=O)C(F)(F)F,272,1,19,5,1,14,6,6,2,0,7.0,5.0,,3.0,1.0,3.0,,,,,,,,
CF=CFCF3,C9H5F5,"beta-Trifluoromethyl-alpha,beta-difluorostyrene",13.64143989000011,14.6,0.39,0.46,0.36,0.1,12566938,208.13,208.03114097,208.03114097,0,14,0,5,3.2,0,C1=CC=C(C=C1)C(=C(C(F)(F)F)F)F,222,1,19,3,1,14,6,7,1,0,9.0,5.0,,,,5.0,,,,,,,,
SSO2Me,C7H8O2S2,Phenylmethanethiosulfonate,12.95117888999949,14.0,0.43,0.54,0.38,0.16,485594,188.3,187.99657184,187.99657184,0,11,0,3,1.6,67.8,CS(=O)(=O)SC1=CC=CC=C1,197,1,19,4,1,11,6,3,2,0,7.0,8.0,,2.0,2.0,,,,,,,,,
SCF2CF3,C8H5F5S,[(Pentafluoroethyl)sulfanyl]benzene,11.884411889999745,13.9,0.44,0.48,0.42,0.06,12599778,228.18,228.00321214,228.00321214,0,14,0,6,4.2,25.3,C1=CC=C(C=C1)SC(C(F)(F)F)(F)F,183,1,19,4,1,14,6,8,0,0,8.0,5.0,,,1.0,5.0,,,,,,,,
CH=CHCN,C9H7N,Cinnamonitrile,13.202182890000019,13.9,0.24,0.17,0.28,-0.11,1550846,129.16,129.057849228,129.057849228,0,10,0,1,2,23.8,C1=CC=C(C=C1)C=CC#N,155,1,17,3,1,10,6,2,1,1,9.0,7.0,1.0,,,,,,,,,,,
N=NPO(OEt)2,C10H15N2O3P,diethyl phenylazophosphonate,13.076680890000311,13.8,-0.16,0.74,-0.05,-0.79,13444115,242.21,242.08202934,242.08202934,0,16,0,5,2.3,60.2,CCOP(=O)(N=NC1=CC=CC=C1)OCC,255,1,31,5,1,16,6,8,2,0,10.0,15.0,2.0,3.0,,,,1.0,,,,,,
CF3,C7H5F3,Benzotrifluoride,13.64143989000011,13.7,0.43,0.54,0.38,0.16,7368,146.11,146.03433465,146.03433465,0,10,0,3,3,0,C1=CC=C(C=C1)C(F)(F)F,99.9,1,15,3,1,10,6,4,0,0,7.0,5.0,,,,3.0,,,,,,,,
CHO,C7H6O,benzaldehyde,11.445154889999655,13.8,0.35,0.42,0.33,0.09,240,106.12,106.041864811,106.041864811,0,8,0,1,1.5,17.1,C1=CC=C(C=C1)C=O,72.5,1,14,3,1,8,6,1,1,0,7.0,6.0,,1.0,,,,,,,,,,
SiBr3,C6H5Br3Si,Tribromo(phenyl)silane,12.009913889999453,13.6,0.48,0.57,0.44,0.13,14638690,344.90,343.76902,341.77106,0,10,0,0,,0,C1=CC=C(C=C1)[Si](Br)(Br)Br,104,1,15,4,1,10,6,4,0,0,6.0,5.0,,,,,,,,,1.0,3.0,,
SCF3,C7H5F3S,Phenyl trifluoromethyl sulfide,12.612950999999587,13.517192909999462,0.4,0.5,0.36,0.14,68011,178.18,178.00640582,178.00640582,0,11,0,4,3.6,25.3,C1=CC=C(C=C1)SC(F)(F)F,115,1,16,4,1,11,6,5,0,0,7.0,5.0,,,1.0,3.0,,,,,,,,
ONO2 ,C6H5NO3,phenyl nitrate,14.017945889999233,13.4,0.55,0.7,0.48,0.22,13161390,139.11,139.026943022,139.026943022,0,10,0,3,2.1,55,C1=CC=C(C=C1)O[N+](=O)[O-],115,1,15,4,1,10,6,3,1,0,6.0,5.0,1.0,3.0,,,,,,,,,,
CClF2 ,C7H5ClF2,(Chlorodifluoromethyl)benzene,12.95117888999949,13.3,0.42,0.46,0.4,0.06,67679,162.56,162.0047842,162.0047842,0,10,0,2,3.3,0,C1=CC=C(C=C1)C(F)(F)Cl,108,1,15,4,1,10,6,4,0,0,7.0,5.0,,,,2.0,1.0,,,,,,,
SeCF3,C7H5F3Se,Phenyl(trifluoromethyl)selane,11.918297430000024,12.744100589999526,0.44,0.45,0.43,0.02,10944118,225.08,225.95086,225.95086,0,11,0,3,,0,C1=CC=C(C=C1)[Se]C(F)(F)F,115,1,16,4,1,11,6,5,0,0,7.0,5.0,,,,3.0,,,,1.0,,,,
CH2SO2CF3 ,C8H7F3O2S,Benzyl(trifluoromethyl) sulfone,12.323668889999837,12.5,0.29,0.31,0.29,0.02,11127928,224.20,224.01188512,224.01188512,0,14,0,5,2,42.5,C1=CC=C(C=C1)CS(=O)(=O)C(F)(F)F,270,1,21,5,1,14,6,6,2,0,8.0,7.0,,2.0,1.0,3.0,,,,,,,,
N=C(CF3)2,C9H5F6N,hexafluoroacetone N-phenylimine,13.327684889999727,12.5,0.29,0.23,0.32,-0.09,10977588,241.13,241.03261814,241.03261814,0,16,0,7,4,12.4,C1=CC=C(C=C1)N=C(C(F)(F)F)C(F)(F)F,242,1,21,4,1,16,6,9,1,0,9.0,5.0,1.0,,,6.0,,,,,,,,
CF2CF2C6H4-4F,C14H9F5,"1-fluoro-4-(1,1,2,2-tetrafluoro-2-phenylethyl)benzene",11.570656889999363,12.3,0.34,0.39,0.32,0.07,9993363,272.21,272.06244110,272.06244110,0,19,0,5,4.6,0,C1=CC=C(C=C1)C(C(C2=CC=C(C=C2)F)(F)F)(F)F,288,1,28,3,2,19,11,8,0,0,14.0,9.0,,,,5.0,,,,,,,,
SCOMe ,C8H8OS,S-Phenyl thioacetate,12.009913889999453,12.3,0.39,0.44,0.37,0.07,13630,152.22,152.02958605,152.02958605,0,10,0,2,2.2,42.4,CC(=O)SC1=CC=CC=C1,116,1,18,4,1,10,6,3,1,0,8.0,8.0,,1.0,1.0,,,,,,,,,
N(Me)COCF3,C9H8F3NO,N-Methyltrifluoroacetanilide,12.613578509999117,12.304216079999904,0.41,0.39,0.41,-0.02,608929,203.16,203.05579836,203.05579836,0,14,0,4,2.2,20.3,CN(C1=CC=CC=C1)C(=O)C(F)(F)F,209,1,22,5,1,14,6,7,1,0,9.0,8.0,1.0,1.0,,3.0,,,,,,,,
OCOCF3,C8H5F3O2,Phenyl trifluoroacetate,14.519953890000291,12.2,0.56,0.46,0.58,-0.12,68143,190.12,190.02416388,190.02416388,0,13,0,5,2.6,26.3,C1=CC=C(C=C1)OC(=O)C(F)(F)F,182,1,18,4,1,13,6,6,1,0,8.0,5.0,,2.0,,3.0,,,,,,,,
BF2,C6H5BF2,difluoro(phenyl)borane,8.809612890000224,12.1,0.32,0.48,0.26,0.22,136201,125.91,126.0452366,126.0452366,0,9,0,2,,0,B(C1=CC=CC=C1)(F)F,79.1,1,14,4,1,9,6,3,0,0,6.0,5.0,,,,2.0,,,,,,,1.0,
OCF2CF3 ,C8H5F5O,Pentafluoroethoxybenzene,13.82969288999967,12.0,0.48,0.28,0.55,-0.27,137133,212.12,212.02605559,212.02605559,0,14,0,6,3.8,9.2,C1=CC=C(C=C1)OC(C(F)(F)F)(F)F,183,1,19,4,1,14,6,8,0,0,8.0,5.0,,1.0,,5.0,,,,,,,,
CCl3,C7H5Cl3,Benzotrichloride,11.319652889999947,11.7,0.4,0.46,0.38,0.09,7367,195.5,193.945683,193.945683,0,10,0,0,3.7,0,C1=CC=C(C=C1)C(Cl)(Cl)Cl,99.9,1,15,3,1,10,6,4,0,0,7.0,5.0,,,,,3.0,,,,,,,
CBr3 ,C7H5Br3,(Tribromomethyl)benzene,10.692142890000294,11.2,0.28,0.29,0.28,0.01,10882040,328.83,327.79209,325.79414,0,10,0,0,4.3,0,C1=CC=C(C=C1)C(Br)(Br)Br,99.9,1,15,3,1,10,6,4,0,0,7.0,5.0,,,,,,,,,,3.0,,
N(Me)SO2CF3,C8H8F3NO2S,"1,1,1-trifluoro-N-methyl-N-phenylmethanesulfonamide",11.884411889999745,11.2,0.46,0.44,0.46,-0.02,12288234,239.22,239.02278416,239.02278416,0,15,0,6,2.2,45.8,CN(C1=CC=CC=C1)S(=O)(=O)C(F)(F)F,301,1,23,6,1,15,6,7,2,0,8.0,8.0,1.0,2.0,1.0,3.0,,,,,,,,
CH2SOCF3 ,C8H7F3OS,trifluoromethylsulfinylmethylbenzene,11.445154889999655,11.2,0.25,0.24,0.27,-0.03,23269067,208.20,208.01697050,208.01697050,0,13,0,5,2.1,36.3,C1=CC=C(C=C1)CS(=O)C(F)(F)F,184,1,20,5,1,13,6,6,1,0,8.0,7.0,,1.0,1.0,3.0,,,,,,,,
PO(OH)2 ,C6H7O3P,Phenylphosphonic acid,9.374371890000022,11.1,0.36,0.42,0.34,0.08,15295,158.09,158.01328108,158.01328108,0,10,2,3,0.5,57.5,C1=CC=C(C=C1)P(=O)(O)O,145,1,17,4,1,10,6,3,1,0,6.0,7.0,,3.0,,,,1.0,,,,,,
OCCl3,C7H5Cl3O,(Trichloromethoxy)benzene,12.63742389000022,11.1,0.43,0.35,0.46,-0.11,40773,211.5,209.940598,209.940598,0,11,0,1,3.9,9.2,C1=CC=C(C=C1)OC(Cl)(Cl)Cl,115,1,16,4,1,11,6,5,0,0,7.0,5.0,,1.0,,,3.0,,,,,,,
NHNO2,C6H6N2O2,N-Nitroaniline,12.825676889999782,11.0,0.91,0.57,0.99,-0.42,61191,138.12,138.042927438,138.042927438,0,10,1,3,2.1,57.8,C1=CC=C(C=C1)N[N+](=O)[O-],115,1,16,4,1,10,6,3,1,0,6.0,6.0,2.0,2.0,,,,,,,,,,
COOH ,C7H6O2,benzoic acid,8.558608889999695,10.9,0.37,0.45,0.34,0.11,243,122.12,122.036779430,122.036779430,0,9,1,2,1.9,37.3,C1=CC=C(C=C1)C(=O)O,104,1,15,3,1,9,6,2,1,0,7.0,6.0,,2.0,,,,,,,,,,
N(SO2Me)2,C8H11NO4S2,n-(methylsulfonyl)-n-phenylmethanesulfonamide,10.252885890000204,10.8,0.47,0.49,0.45,0.04,459372,249.3,249.01295018,249.01295018,0,15,0,5,0.6,88.3,CS(=O)(=O)N(C1=CC=CC=C1)S(=O)(=O)C,363,1,26,5,1,15,6,5,4,0,8.0,11.0,1.0,4.0,2.0,,,,,,,,,
SCF2CHF2 ,C8H6F4S,"[(1,1,2,2-Tetrafluoroethyl)sulfanyl]benzene",9.876379889999967,10.7,0.38,0.47,0.35,0.12,12780701,210.19,210.01263401,210.01263401,0,13,0,5,4,25.3,C1=CC=C(C=C1)SC(C(F)F)(F)F,154,1,19,4,1,13,6,7,0,0,8.0,6.0,,,1.0,4.0,,,,,,,,
CHF2,C7H6F2,(difluoromethyl)benzene,12.57467288999925,10.4,0.29,0.32,0.29,0.03,640452,128.12,128.04375652,128.04375652,0,9,0,2,2.5,0,C1=CC=C(C=C1)C(F)F,75,1,15,3,1,9,6,3,0,0,7.0,6.0,,,,2.0,,,,,,,,
NHSO2CF3,C7H6F3NO2S,"1,1,1-trifluoro-n-phenylmethanesulfonamide",9.876379889999967,10.3,0.44,0.39,0.45,-0.06,68012,225.19,225.00713409,225.00713409,0,14,1,6,3,54.6,C1=CC=C(C=C1)NS(=O)(=O)C(F)(F)F,274,1,20,6,1,14,6,6,2,0,7.0,6.0,1.0,2.0,1.0,3.0,,,,,,,,
CH=NNHCSNH2 ,C8H9N3S,Benzaldehyde thiosemicarbazone,10.127383889999383,10.3,0.45,0.4,0.46,-0.06,5711036,179.24,179.05171847,179.05171847,0,12,2,2,1.9,82.5,C1=CC=C(C=C1)C=NNC(=S)N,173,1,21,4,1,12,6,4,2,0,8.0,9.0,3.0,,1.0,,,,,,,,,
C6H4-4NO2,C7H5NO4,4-Nitrobenzoic acid,10.378387889999912,10.2,0.25,0.26,0.26,0.0,6108,167.12,167.02185764,167.02185764,0,12,1,4,1.9,83.1,C1=CC(=CC=C1C(=O)O)[N+](=O)[O-],190,1,17,4,1,12,6,4,2,0,7.0,5.0,1.0,4.0,,,,,,,,,,
OCF2CHF2,C8H6F4O,"(1,1,2,2-Tetrafluoroethoxy)benzene",11.9471628899996,10.1,0.34,0.25,0.38,-0.13,67692,194.13,194.03547746,194.03547746,0,13,0,5,3.6,9.2,C1=CC=C(C=C1)OC(C(F)F)(F)F,154,1,19,4,1,13,6,7,0,0,8.0,6.0,,1.0,,4.0,,,,,,,,
CHCl2,C7H6Cl2,Benzal chloride,9.813628890000112,10.0,0.31,0.32,0.31,0.01,7411,161.03,159.9846556,159.9846556,0,9,0,0,3,0,C1=CC=C(C=C1)C(Cl)Cl,75,1,15,3,1,9,6,3,0,0,7.0,6.0,,,,,2.0,,,,,,,
COOC6H5,C13H10O2,Phenyl benzoate,7.80559688999922,10.0,0.37,0.44,0.34,0.1,7169,198.22,198.068079557,198.068079557,0,15,0,2,3.6,26.3,C1=CC=C(C=C1)C(=O)OC2=CC=CC=C2,201,1,25,3,2,15,11,3,1,0,13.0,10.0,,2.0,,,,,,,,,,
OCOC6H5,C13H10O2,Phenyl benzoate,1.0912398899992626,2.3,0.21,0.13,0.26,-0.13,7169,198.22,198.068079557,198.068079557,0,15,0,2,3.6,26.3,C1=CC=C(C=C1)C(=O)OC2=CC=CC=C2,201,1,25,3,2,15,11,3,1,0,13.0,10.0,,2.0,,,,,,,,,,
OCF2CHFCl ,C8H6ClF3O,"(2-Chloro-1,1,2-trifluoroethoxy)benzene",11.758909890000039,10.0,0.35,0.28,0.38,-0.1,13355059,210.58,210.0059270,210.0059270,0,13,0,4,3.8,9.2,C1=CC=C(C=C1)OC(C(F)Cl)(F)F,160,1,19,5,1,13,6,7,0,0,8.0,6.0,,1.0,,3.0,1.0,,,,,,,
CHBr2,C7H6Br2,(Dibromomethyl)benzene,9.68812688999929,9.9,0.31,0.32,0.31,0.01,69249,249.93,249.88158,247.88363,0,9,0,0,3.4,0,C1=CC=C(C=C1)C(Br)Br,75,1,15,3,1,9,6,3,0,0,7.0,6.0,,,,,,,,,,2.0,,
C6F5,C12H5F5,"2,3,4,5,6-Pentafluorobiphenyl",9.562624889999583,9.8,0.26,0.27,0.27,0.0,298177,244.16,244.03114097,244.03114097,0,17,0,5,4,0,C1=CC=C(C=C1)C2=C(C(=C(C(=C2F)F)F)F)F,237,1,22,3,2,17,11,6,0,0,12.0,5.0,,,,5.0,,,,,,,,
COMe,C8H8O,Acetophenone,7.680094889999512,9.7,0.38,0.5,0.33,0.17,7410,120.15,120.057514874,120.057514874,0,9,0,1,1.6,17.1,CC(=O)C1=CC=CC=C1,101,1,17,3,1,9,6,2,1,0,8.0,8.0,,1.0,,,,,,,,,,
COMe,C8H8O,Acetophenone,7.680094889999512,9.7,0.38,0.5,0.33,0.17,7276,120.15,120.057514874,120.057514874,0,9,0,1,1.6,12.5,C1C(O1)C2=CC=CC=C2,94.7,1,17,3,2,9,5,4,0,0,8.0,8.0,,1.0,,,,,,,,,,
COMe,C8H8O,Acetophenone,7.680094889999512,9.7,0.38,0.5,0.33,0.17,69840,120.15,120.057514874,120.057514874,0,9,0,1,2.6,9.2,C=COC1=CC=CC=C1,82.6,1,17,3,1,9,6,2,1,0,8.0,8.0,,1.0,,,,,,,,,,
OXIRANYL,C8H8O,2-Phenyloxirane,2.553338189999645,1.3547940899993172,0.05,0.03,0.09,-0.06,7410,120.15,120.057514874,120.057514874,0,9,0,1,1.6,17.1,CC(=O)C1=CC=CC=C1,101,1,17,3,1,9,6,2,1,0,8.0,8.0,,1.0,,,,,,,,,,
OXIRANYL,C8H8O,2-Phenyloxirane,2.553338189999645,1.3547940899993172,0.05,0.03,0.09,-0.06,7276,120.15,120.057514874,120.057514874,0,9,0,1,1.6,12.5,C1C(O1)C2=CC=CC=C2,94.7,1,17,3,2,9,5,4,0,0,8.0,8.0,,1.0,,,,,,,,,,
OXIRANYL,C8H8O,2-Phenyloxirane,2.553338189999645,1.3547940899993172,0.05,0.03,0.09,-0.06,69840,120.15,120.057514874,120.057514874,0,9,0,1,2.6,9.2,C=COC1=CC=CC=C1,82.6,1,17,3,1,9,6,2,1,0,8.0,8.0,,1.0,,,,,,,,,,
OCH=CH2,C8H8O,Phenyl vinyl ether,1.153990890000231,0.7,0.21,-0.09,0.34,-0.43,7410,120.15,120.057514874,120.057514874,0,9,0,1,1.6,17.1,CC(=O)C1=CC=CC=C1,101,1,17,3,1,9,6,2,1,0,8.0,8.0,,1.0,,,,,,,,,,
OCH=CH2,C8H8O,Phenyl vinyl ether,1.153990890000231,0.7,0.21,-0.09,0.34,-0.43,7276,120.15,120.057514874,120.057514874,0,9,0,1,1.6,12.5,C1C(O1)C2=CC=CC=C2,94.7,1,17,3,2,9,5,4,0,0,8.0,8.0,,1.0,,,,,,,,,,
OCH=CH2,C8H8O,Phenyl vinyl ether,1.153990890000231,0.7,0.21,-0.09,0.34,-0.43,69840,120.15,120.057514874,120.057514874,0,9,0,1,2.6,9.2,C=COC1=CC=CC=C1,82.6,1,17,3,1,9,6,2,1,0,8.0,8.0,,1.0,,,,,,,,,,
SiMeCl2 ,C7H8Cl2Si,Dichloromethylphenylsilane,8.24485388999931,9.6,0.31,0.39,0.29,0.1,9006,191.13,189.9772322,189.9772322,0,10,0,0,,0,C[Si](C1=CC=CC=C1)(Cl)Cl,108,1,18,4,1,10,6,4,0,0,7.0,8.0,,,,,2.0,,,,1.0,,,
SOMe,C7H8OS,Methyl phenyl sulfoxide,10.441138889999765,9.6,0.52,0.49,0.52,-0.03,14516,140.20,140.02958605,140.02958605,0,9,0,2,0.6,36.3,CS(=O)C1=CC=CC=C1,106,1,17,4,1,9,6,2,1,0,7.0,8.0,,1.0,1.0,,,,,,,,,
SOMe,C7H8OS,Methyl phenyl sulfoxide,10.441138889999765,9.6,0.52,0.49,0.52,-0.03,318902,140.20,140.02958605,140.02958605,0,9,0,2,2.1,34.5,COSC1=CC=CC=C1,69.3,1,17,4,1,9,6,3,0,0,7.0,8.0,,1.0,1.0,,,,,,,,,
S(OMe),C7H8OS,benzenesulfenic acid methyl ester,5.044552890000081,3.2,0.21,0.17,0.24,-0.07,14516,140.20,140.02958605,140.02958605,0,9,0,2,0.6,36.3,CS(=O)C1=CC=CC=C1,106,1,17,4,1,9,6,2,1,0,7.0,8.0,,1.0,1.0,,,,,,,,,
S(OMe),C7H8OS,benzenesulfenic acid methyl ester,5.044552890000081,3.2,0.21,0.17,0.24,-0.07,318902,140.20,140.02958605,140.02958605,0,9,0,2,2.1,34.5,COSC1=CC=CC=C1,69.3,1,17,4,1,9,6,3,0,0,7.0,8.0,,1.0,1.0,,,,,,,,,
CH2SCN ,C8H7NS,Benzyl thiocyanate,11.005897889999563,9.6,0.12,0.14,0.14,0.0,18170,149.21,149.02992040,149.02992040,0,10,0,2,2,49.1,C1=CC=C(C=C1)CSC#N,129,1,17,4,1,10,6,3,0,1,8.0,7.0,1.0,,1.0,,,,,,,,,
CONHC6H5,C13H11NO,Benzanilide,8.621359889999548,9.3,0.23,0.41,0.17,0.24,7168,197.23,197.084063974,197.084063974,0,15,1,1,2.6,29.1,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,203,1,26,4,2,15,11,3,1,0,13.0,11.0,1.0,1.0,,,,,,,,,,
NHCOC6H5,C13H11NO,Benzanilide,1.5932478899992073,-1.5,0.02,-0.19,0.13,-0.32,7168,197.23,197.084063974,197.084063974,0,15,1,1,2.6,29.1,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,203,1,26,4,2,15,11,3,1,0,13.0,11.0,1.0,1.0,,,,,,,,,,
C(OH)(CF3)2,C9H6F6O,"1,1,1,3,3,3-hexafluoro-2-phenylpropan-2-ol",8.997865889999785,9.3,0.29,0.3,0.29,0.01,69748,244.13,244.03228378,244.03228378,0,16,1,7,3.4,20.2,C1=CC=C(C=C1)C(C(F)(F)F)(C(F)(F)F)O,223,1,22,4,1,16,6,10,0,0,9.0,6.0,,1.0,,6.0,,,,,,,,
P(S)Et2,C10H15PS,"Phosphine sulfide, diethylphenyl-",8.433106889999987,9.2,0.39,0.46,0.36,0.1,785555,198.27,198.06320865,198.06320865,0,12,0,1,3.4,32.1,CCP(=S)(CC)C1=CC=CC=C1,163,1,27,4,1,12,6,5,1,0,10.0,15.0,,,1.0,,,1.0,,,,,,
CSNH2,C7H7NS,Benzothioamide,8.30760489000028,9.2,0.25,0.3,0.24,0.06,683563,137.20,137.02992040,137.02992040,0,9,1,1,1.5,58.1,C1=CC=C(C=C1)C(=S)N,106,1,16,4,1,9,6,2,1,0,7.0,7.0,1.0,,1.0,,,,,,,,,
SCHF2 ,C7H6F2S,[(difluoromethyl)thio]benzene,8.30760489000028,9.1,0.33,0.37,0.32,0.05,73752,160.19,160.01582769,160.01582769,0,10,0,3,3.7,25.3,C1=CC=C(C=C1)SC(F)F,89.6,1,16,4,1,10,6,4,0,0,7.0,6.0,,,1.0,2.0,,,,,,,,
As(S)Et2,C10H15AsS,phenyldiethylarsinesulfide,7.609813769999721,9.09073736999939,0.52,0.44,0.54,-0.1,12543074,242.21,242.011041,242.011041,0,12,0,1,,32.1,CC[As](=S)(CC)C1=CC=CC=C1,163,1,27,4,1,12,6,5,1,0,10.0,15.0,,,1.0,,,,,,,,,1.0
CH=NC6H5,C13H11N,N-Benzylideneaniline,7.491841889999951,9.0,0.35,0.42,0.33,0.09,10858,181.23,181.089149355,181.089149355,0,14,0,1,2.8,12.4,C1=CC=C(C=C1)C=NC2=CC=CC=C2,174,1,25,3,2,14,11,2,1,0,13.0,11.0,1.0,,,,,,,,,,,
N=CHC6H5,C13H11N,N-Benzylideneaniline,0.2754768900000491,-1.3,-0.08,-0.55,0.14,-0.69,10858,181.23,181.089149355,181.089149355,0,14,0,1,2.8,12.4,C1=CC=C(C=C1)C=NC2=CC=CC=C2,174,1,25,3,2,14,11,2,1,0,13.0,11.0,1.0,,,,,,,,,,,
N(COMe)2,C10H11NO2,N-acetyl-N-phenylacetamide,9.562624889999583,9.0,0.35,0.33,0.36,-0.03,137083,177.20,177.078978594,177.078978594,0,13,0,2,0.9,37.4,CC(=O)N(C1=CC=CC=C1)C(=O)C,193,1,24,4,1,13,6,5,2,0,10.0,11.0,1.0,2.0,,,,,,,,,,
COEt ,C9H10O,Propiophenone,6.927082890000152,8.9,0.38,0.48,0.34,0.14,7148,134.17,134.073164938,134.073164938,0,10,0,1,2.2,17.1,CCC(=O)C1=CC=CC=C1,112,1,20,3,1,10,6,3,1,0,9.0,10.0,,1.0,,,,,,,,,,
COEt ,C9H10O,Propiophenone,6.927082890000152,8.9,0.38,0.48,0.34,0.14,74458,134.17,134.073164938,134.073164938,0,10,0,1,2.9,9.2,C=CCOC1=CC=CC=C1,92.9,1,20,3,1,10,6,3,1,0,9.0,10.0,,1.0,,,,,,,,,,
cyclopropyl ,C9H10O,Cyclopropylbenzene,-1.8580571100005518,-2.4,-0.07,-0.21,0.02,-0.23,7148,134.17,134.073164938,134.073164938,0,10,0,1,2.2,17.1,CCC(=O)C1=CC=CC=C1,112,1,20,3,1,10,6,3,1,0,9.0,10.0,,1.0,,,,,,,,,,
cyclopropyl ,C9H10O,Cyclopropylbenzene,-1.8580571100005518,-2.4,-0.07,-0.21,0.02,-0.23,74458,134.17,134.073164938,134.073164938,0,10,0,1,2.9,9.2,C=CCOC1=CC=CC=C1,92.9,1,20,3,1,10,6,3,1,0,9.0,10.0,,1.0,,,,,,,,,,
OCH2CH=CH2,C9H10O,Allyl phenyl ether,0.08722388999937314,-4.8,0.09,-0.25,0.25,-0.5,7148,134.17,134.073164938,134.073164938,0,10,0,1,2.2,17.1,CCC(=O)C1=CC=CC=C1,112,1,20,3,1,10,6,3,1,0,9.0,10.0,,1.0,,,,,,,,,,
OCH2CH=CH2,C9H10O,Allyl phenyl ether,0.08722388999937314,-4.8,0.09,-0.25,0.25,-0.5,74458,134.17,134.073164938,134.073164938,0,10,0,1,2.9,9.2,C=CCOC1=CC=CC=C1,92.9,1,20,3,1,10,6,3,1,0,9.0,10.0,,1.0,,,,,,,,,,
COCHMe2 ,C10H12O,Isobutyrophenone,6.801580889999331,8.9,0.38,0.47,0.35,0.12,69144,148.20,148.088815002,148.088815002,0,11,0,1,2.7,17.1,CC(C)C(=O)C1=CC=CC=C1,132,1,23,3,1,11,6,4,1,0,10.0,12.0,,1.0,,,,,,,,,,
SiMeF2,C7H8F2Si,Phenyl methyl difluorosilane,7.303588889999275,8.9,0.29,0.23,0.32,-0.09,9479,158.22,158.03633311,158.03633311,0,10,0,2,,0,C[Si](C1=CC=CC=C1)(F)F,108,1,18,4,1,10,6,4,0,0,7.0,8.0,,,,2.0,,,,,1.0,,,
PO(OMe)2 ,C8H11O3P,Dimethyl Phenylphosphonate,7.05258488999986,8.8,0.42,0.53,0.37,0.16,75234,186.14,186.04458121,186.04458121,0,12,0,3,0.9,35.5,COP(=O)(C1=CC=CC=C1)OC,167,1,23,4,1,12,6,5,1,0,8.0,11.0,,3.0,,,,1.0,,,,,,
PO(OMe)2,C8H11O3P,Dimethyl Phenylphosphonate,6.727534709999012,8.78513999999959,0.42,0.53,0.37,0.16,75234,186.14,186.04458121,186.04458121,0,12,0,3,0.9,35.5,COP(=O)(C1=CC=CC=C1)OC,167,1,23,4,1,12,6,5,1,0,8.0,11.0,,3.0,,,,1.0,,,,,,
CH=CHCOMe ,C10H10O,Benzylideneacetone,7.868347890000188,8.8,0.21,-0.01,0.31,-0.32,637759,146.19,146.073164938,146.073164938,0,11,0,1,2.1,17.1,CC(=O)C=CC1=CC=CC=C1,152,1,21,3,1,11,6,3,2,0,10.0,10.0,,1.0,,,,,,,,,,
PO(OC4H9)2,C14H23O3P,dibutoxyphosphorylbenzene,7.115335889999714,8.7,0.41,0.57,0.35,0.22,70559,270.30,270.13848159,270.13848159,0,18,0,3,3.5,35.5,CCCCOP(=O)(C1=CC=CC=C1)OCCCC,235,1,41,4,1,18,6,11,1,0,14.0,23.0,,3.0,,,,1.0,,,,,,
PO(OPr)2,C12H19O3P,"Phosphonic acid, phenyl-, dipropyl ester",6.927082890000152,8.6,0.38,0.5,0.33,0.17,11736632,242.25,242.10718146,242.10718146,0,16,0,3,2.8,35.5,CCCOP(=O)(C1=CC=CC=C1)OCCC,212,1,35,4,1,16,6,9,1,0,12.0,19.0,,3.0,,,,1.0,,,,,,
SOC6H5,C12H10OS,Diphenyl sulfoxide,9.248869890000314,8.5,0.5,0.44,0.51,-0.07,13679,202.27,202.04523611,202.04523611,0,14,0,2,2.1,36.3,C1=CC=C(C=C1)S(=O)C2=CC=CC=C2,171,1,24,4,2,14,11,2,1,0,12.0,10.0,,1.0,1.0,,,,,,,,,
